Account Short Name,Segment,Key Account Type,V1,Perf Reporting?,,2018 Division,2019 Division,2019 BMP Label,2020 Division,2020 BU Label,2020 DIV Label,2020 Business Model Label,,Product Line,"Original 
Product Line","2020 Mapped 
Product Line",Division-2019,"2020 
Current/Old",2020 Division,"2020 For 
Reporting",,2019 Prod Code,2020 Prod Code,Domain,EcoX,Margin,,OpportunityScope,EcoX?,EcoX Domain1,EcoX Domain2,EcoX Domain3,,"2020 For 
Reporting",2020 Division,,Product Line,"Original 
Product Line","2020 Mapped 
Product Line",Division-2019,"2020 
Current/Old",2020 Division,"2020 For 
Reporting",US Reporting Div,NAM Ops?,"US P&L, L1","US P&L, L2","US P&L, L3",,,Services,,,ESX L2L3,,,Adv+SW,,,,,,,,UPD 3.2.2021,,,,,,,,,,,,,Flywheel Ref Data,,,,
Dept of Veterans Affairs,Government,CTA,Greg Miller,1,,,,,,,,,,PTLCA - Light.Ctrl/Home Autom.,PTLCA,PTCLS,,OLD,Home & Distribution,Home & Distribution,,,,,,,,EcoStruxure Building;EcoStruxure IT;EcoStruxure Power,1,Power,Building,IT,,,,,PTLCA - Light.Ctrl/Home Autom.,PTLCA,HDCLS,,OLD,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Machine,IDCOM,ADVISOR DIGITAL OFFERS,TELEVISBLUE,1,IDCOM-ADVISOR DIGITAL OFFERS-TELEVISBLUE,IND Software,,DGRID-SCADA-SCADA ARR,Operations Management,DGRID,SCADA,SCADA ARR,DGRID-SCADA-SCADA ARR,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,,,,,
DHS,Government,CTA,Collin Sandifer,1,,,,,,,,,,PTLGT - Lighting and Emergency Lighting,PTLGT,PTCLS,,OLD,Home & Distribution,Home & Distribution,,,,,,,,EcoStruxure Building;EcoStruxure Machine,1,Building,Machine,0,,,,,PTLGT - Lighting and Emergency Lighting,PTLGT,HDCLS,,OLD,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Machine,IDEUR,ADVISOR DIGITAL OFFERS,EMCA Advisor,1,IDEUR-ADVISOR DIGITAL OFFERS-EMCA Advisor,IND EMCA Advisor,,DGRID-SCADA-SCADA SVC,Operations Management,DGRID,SCADA,SCADA SVC,DGRID-SCADA-SCADA SVC,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,,,,,
Dept of Transportation,Government,CTA,Greg Miller,1,,,,,,,,,,PTLRC - Lighting and room control,PTLRC,PTCLS,,OLD,Home & Distribution,Home & Distribution,,,,,,,,EcoStruxure Building;EcoStruxure Machine;EcoStruxure Plant,1,Building,Plant,Machine,,,,,PTLRC - Lighting and room control,PTLRC,HDCLS,,OLD,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Machine,IDHMI,ADVISOR DIGITAL OFFERS,Augmented Operator Adv,1,IDHMI-ADVISOR DIGITAL OFFERS-Augmented Operator Adv,IND Aug Op Adv,,DGRID-SCADA-SCADA SW,Operations Management,DGRID,SCADA,SCADA SW,DGRID-SCADA-SCADA SW,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,,,,,
GSA,Government,CTA,Greg Miller,1,,,,,,,,,,PTNCO - Network Connectivity,PTNCO,PTNCO,,Current,Home & Distribution,Home & Distribution,,,,,,,,EcoStruxure Building;EcoStruxure Plant,1,Building,Plant,0,,,,,PTNCO - Network Connectivity,PTNCO,HDCLN,,Current,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Machine,IDHMI,ADVISOR DIGITAL OFFERS,Proface Connect Adv,1,IDHMI-ADVISOR DIGITAL OFFERS-Proface Connect Adv,IND Proface Adv,,DGRID-SFP OTHER FOR DGRID-FAMILY OTHER FOR DGRID,Other,DGRID,SFP OTHER FOR DGRID,FAMILY OTHER FOR DGRID,DGRID-SFP OTHER FOR DGRID-FAMILY OTHER FOR DGRID,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Other,Power,,,,,,
NASA,Government,CTA,Collin Sandifer,1,,,,,,,,,,PTRTC - Residential and Thermal Control,PTRTC,PTCLT,,OLD,Home & Distribution,Home & Distribution,,,,,,,,EcoStruxure Building;EcoStruxure Plant;EcoStruxure Power,1,Power,Plant,0,,,,,PTRTC - Residential and Thermal Control,PTRTC,HDCLT,,OLD,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Machine,IDHMI,ADVISOR DIGITAL OFFERS,Secure Connect Advisor,1,IDHMI-ADVISOR DIGITAL OFFERS-Secure Connect Advisor,IND Secure Connect Adv,,DPIBS-Cyber thru Field Sce-Cybersecurity services,Cybersecurity,DPIBS,Cyber thru Field Sce,Cybersecurity services,DPIBS-Cyber thru Field Sce-Cybersecurity services,0,1,ENM DIGITAL ENERGY,DIGITAL POWER SERVICES,DPIBS-Cybersecurity,Power,,,,,,
US Army,Government,CTA,TBD Gov,1,,,,,,,,,,PTWDA - Wiring Devices,PTWDA,PTCLD,,OLD,Home & Distribution,Home & Distribution,,,,,,,,EcoStruxure Building;EcoStruxure Power,1,Power,Building,0,,,,,PTWDA - Wiring Devices,PTWDA,HDCLD,,OLD,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Machine,IDOL2,ADVISOR DIGITAL OFFERS,MACHINE ADVISOR,1,IDOL2-ADVISOR DIGITAL OFFERS-MACHINE ADVISOR,IND Machine Advisor,,DPIBS-DP pull thru Field Sce-Elec Distrib Digitiz,PME/PSO/FE,DPIBS,DP pull thru Field Sce,Elec Distrib Digitiz,DPIBS-DP pull thru Field Sce-Elec Distrib Digitiz,0,1,ENM DIGITAL ENERGY,DIGITAL POWER SERVICES,DPIBS-PME/PSO/FE,Power,,,,,,
US Navy,Government,CTA,Dan Vesey,1,,,,,,,,,,PWFDA - Final Distribution Advanced Functions,PWFDA,PTFDA,,OLD,Home & Distribution,Home & Distribution,,,,,,,,EcoStruxure Building;EcoStruxure Power;ASCO/Schneider Cross Sell,1,Power,Building,0,,,,,PWFDA - Final Distribution Advanced Functions,PWFDA,HDFDA,,OLD,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Machine,IDPAC,ESX AUTOMATION EXPERT,SOFTWARE EAE,1,IDPAC-ESX AUTOMATION EXPERT-SOFTWARE EAE,IND Software,,DPIBS-Dig instal commis sce-Asset Advisor Setup,EcoStruxure Asset Advisor for Electrical Distribution,DPIBS,Dig instal commis sce,Asset Advisor Setup,DPIBS-Dig instal commis sce-Asset Advisor Setup,0,1,ENM DIGITAL ENERGY,DIGITAL POWER SERVICES,DPIBS-EcoStruxure Asset Advisor for Electrical Distribution,Power,,,,,,
FedEx,Logistics,CTA,Jerry (Louis) McCord,1,,,,,,,,,,PWFDB - Final Distribution Breakers Devices,PWFDB,PTFDB,,OLD,Home & Distribution,Home & Distribution,,,,,,,,EcoStruxure Building;EcoStruxure Power;Connectivity EcoSystem;ASCO/Schneider Cross Sell,1,Power,Building,0,,,,,PWFDB - Final Distribution Breakers Devices,PWFDB,HDFDB,,OLD,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Machine,IDPLT,ProLeit Solutions,ProLeit Solutions,1,IDPLT-ProLeit Solutions-ProLeit Solutions,IND Software,,DPIBS-Dig instal commis sce-Power Advisor Setup,EcoStruxure Power Advisor,DPIBS,Dig instal commis sce,Power Advisor Setup,DPIBS-Dig instal commis sce-Power Advisor Setup,0,1,ENM DIGITAL ENERGY,DIGITAL POWER SERVICES,DPIBS-EcoStruxure Power Advisor,Power,,,,,,
UPS,Logistics,CTA,Jerry (Louis) McCord,1,,,,,,,,,,PWFDS - Final Distribution Enclosure Systems,PWFDS,PTFDS,,OLD,Home & Distribution,Home & Distribution,,,,,,,,EcoStruxure Building;EcoStruxure Power;Supplier B2B Initiative,1,Power,Building,0,,,,,PWFDS - Final Distribution Enclosure Systems,PWFDS,HDFDS,,OLD,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Machine,IDSEN,ADVISOR DIGITAL OFFERS,XIOT,0,IDSEN-ADVISOR DIGITAL OFFERS-XIOT,IND Software,,DPIBS-Digital Services-Asset Advisor Subsc,EcoStruxure Asset Advisor for Electrical Distribution,DPIBS,Digital Services,Asset Advisor Subsc,DPIBS-Digital Services-Asset Advisor Subsc,0,1,ENM DIGITAL ENERGY,DIGITAL POWER SERVICES,DPIBS-EcoStruxure Asset Advisor for Electrical Distribution,Power,,,,,,
Walmart,Logistics,CTA,Don King,1,,,,,,,,,,IDCOM - Commercial (Eliwell),IDCOM,IDCOM,,Current,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure Building;Supplier B2B Initiative,1,Building,0,0,,,,,IDCOM - Commercial (Eliwell),IDCOM,IDCOM,,Current,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Machine,IDIBS,ADVISOR DIGITAL OFFERS,Esx Asset Advisor,0,IDIBS-ADVISOR DIGITAL OFFERS-Esx Asset Advisor,IND Asset Advisor,,DPIBS-Digital Services-Ecostruxure Sce Plan,EcoStruxure Service Plan Power,DPIBS,Digital Services,Ecostruxure Sce Plan,DPIBS-Digital Services-Ecostruxure Sce Plan,0,1,ENM DIGITAL ENERGY,DIGITAL POWER SERVICES,DPIBS-EcoStruxure Service Plan Power,Power,,,,,,
Agnico Eagle,MMM,CTA,Not USA,1,,,,,,,,,,IDEUR - Eurotherm,IDEUR,IDEUR,,Current,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure Grid,1,Grid,0,0,,,,,IDEUR - Eurotherm,IDEUR,IDEUR,,Current,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Machine,IDIBS,ADVISOR DIGITAL OFFERS,Esx Pumping Perf Adv,0,IDIBS-ADVISOR DIGITAL OFFERS-Esx Pumping Perf Adv,IND Pump Advisor,,DPIBS-Digital Services-Power Advisor Subsc,EcoStruxure Power Advisor,DPIBS,Digital Services,Power Advisor Subsc,DPIBS-Digital Services-Power Advisor Subsc,0,1,ENM DIGITAL ENERGY,DIGITAL POWER SERVICES,DPIBS-EcoStruxure Power Advisor,Power,,,,,,
Alcoa,MMM(excl),CTA,Removed,0,,,,,,,,,,IDHMI - Human Machine Interface,IDHMI,IDHMI,,Current,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure Grid;EcoStruxure Plant,1,Plant,Grid,0,,,,,IDHMI - Human Machine Interface,IDHMI,IDHMI,,Current,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Machine,IDIBS,CYBERSEC SERVICES,CYBERSEC services,0,IDIBS-CYBERSEC SERVICES-CYBERSEC services,Ind CyberSec,,DPENS-EN AUTO CYBER SERVICES-En Auto Cyber Sce,Cybersecurity,DPENS,EN AUTO CYBER SERVICES,En Auto Cyber Sce,DPENS-EN AUTO CYBER SERVICES-En Auto Cyber Sce,1,0,ENM DIGITAL ENERGY,ELECTRIC NETWORKS PROJ,DPENS-Cybersecurity,Power,,,,,,
Arcelor Mittal,MMM,Strategic,Jon Urso,1,,,,,,,,,,IDMOT - Motion Control,IDMOT,IDMST,,OLD,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure Grid;EcoStruxure Power,1,Power,Grid,0,,,,,IDMOT - Motion Control,IDMOT,IDMST,,OLD,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Plant,IDFLD,ADVISOR DIGITAL OFFERS,CENTERON,0,IDFLD-ADVISOR DIGITAL OFFERS-CENTERON,PA Software,,DPENS-SOLUTIONS-EMO - EMA,EcoStruxure Microgrid Advisor,DPENS,SOLUTIONS,EMO - EMA,DPENS-SOLUTIONS-EMO - EMA,1,0,ENM DIGITAL ENERGY,ELECTRIC NETWORKS PROJ,DPENS-EcoStruxure Microgrid Advisor,Power,,,,,,
BHP Biliton,MMM,Strategic,Not USA,1,,,,,,,,,,IDMST - Machine Solutions Transactional,IDMST,IDMST,,Current,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure Integrated Solution,1,Integrated Solution,0,0,,,,,IDMST - Machine Solutions Transactional,IDMST,IDMST,,Current,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Plant,IDPAS,ADVISOR DIGITAL OFFERS,Connected RemoteWatch,0,IDPAS-ADVISOR DIGITAL OFFERS-Connected RemoteWatch,PA Software,,DPSOL-Soft & Services-Cybersec Service,Cybersecurity,DPSOL,Soft & Services,Cybersec Service,DPSOL-Soft & Services-Cybersec Service,1,0,ENM DIGITAL ENERGY,POWER SOLUTIONS,DPSOL-Cybersecurity,Power,,,,,,
Cemex,MMM,CTA,Not USA,1,,,,,,,,,,IDOL2 - Industry OEM Systems,IDOL2,IDOL2,,Current,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure Integrated Solution;EcoStruxure Building,1,Building,0,0,,,,,IDOL2 - Industry OEM Systems,IDOL2,IDOL2,,Current,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Plant,IDPAS,ADVISOR DIGITAL OFFERS,Esx Safety Advisor,0,IDPAS-ADVISOR DIGITAL OFFERS-Esx Safety Advisor,PA Advisor,,DPSOL-Soft & Services-FEFA on Demand Service,EcoStruxure Facility Expert,DPSOL,Soft & Services,FEFA on Demand Service,DPSOL-Soft & Services-FEFA on Demand Service,1,0,ENM DIGITAL ENERGY,POWER SOLUTIONS,DPSOL-EcoStruxure Facility Expert,Power,,,,,,
CMC Steel,MMM,CTA Candidate,Jon Urso,1,,,,,,,,,,IDPAC - Process Automation Control,IDPAC,IDPAC,,Current,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure IT,1,IT,0,0,,,,,IDPAC - Process Automation Control,IDPAC,IDPAC,,Current,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Plant,IDPAS,ADVISOR DIGITAL OFFERS,Ind Managed Services,0,IDPAS-ADVISOR DIGITAL OFFERS-Ind Managed Services,PA Advisor,,DPSOL-Soft & Services-Facility Advisor,EcoStruxure Facility Expert,DPSOL,Soft & Services,Facility Advisor,DPSOL-Soft & Services-Facility Advisor,1,0,ENM DIGITAL ENERGY,POWER SOLUTIONS,DPSOL-EcoStruxure Facility Expert,Power,,,,,,
Corning,MMM,CTA,David Rogers,1,,,,,,,,,,IDSAF - OEM Safety&Controllers,IDSAF,IDMST,,OLD,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure IT;Commercial & Industrial,1,IT,0,0,,,,,IDSAF - OEM Safety&Controllers,IDSAF,IDMST,,OLD,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Plant,IDPAS,ADVISOR DIGITAL OFFERS,RemoteWatch,0,IDPAS-ADVISOR DIGITAL OFFERS-RemoteWatch,PA Software,,DPSOL-Soft & Services-Facility Expert,EcoStruxure Facility Expert,DPSOL,Soft & Services,Facility Expert,DPSOL-Soft & Services-Facility Expert,1,0,ENM DIGITAL ENERGY,POWER SOLUTIONS,DPSOL-EcoStruxure Facility Expert,Power,,,,,,
Freeport McMoRan,MMM,CTA,David Rogers,1,,,,,,,,,,IDSDS - Speed Drives Systems,IDSDS,IDSDS,,Current,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure IT;EcoStruxure Plant,1,Plant,IT,0,,,,,IDSDS - Speed Drives Systems,IDSDS,IDSDS,,Current,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Plant,IDPAS,CYBERSEC SERVICES,CYBERSEC services,0,IDPAS-CYBERSEC SERVICES-CYBERSEC services,PA CyberSec,,DPSOL-Soft & Services-PM Cloud Sw Sce PA,EcoStruxure Power Advisor,DPSOL,Soft & Services,PM Cloud Sw Sce PA,DPSOL-Soft & Services-PM Cloud Sw Sce PA,1,0,ENM DIGITAL ENERGY,POWER SOLUTIONS,DPSOL-EcoStruxure Power Advisor,Power,,,,,,
Gerdau,MMM,CTA,Jon Urso,1,,,,,,,,,,IDSEN - Sensors,IDSEN,IDSEN,,Current,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure IT;EcoStruxure Plant;Commercial & Industrial,1,Plant,IT,0,,,,,IDSEN - Sensors,IDSEN,IDSEN,,Current,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Power,SUSUP,DATA,GLOBAL DATA OPS,0,SUSUP-DATA-GLOBAL DATA OPS,Resource Advisor,,DPSOL-Soft & Services-PM Cloud Sw Sce PEEMCP,EcoStruxure Energy Operation,DPSOL,Soft & Services,PM Cloud Sw Sce PEEMCP,DPSOL-Soft & Services-PM Cloud Sw Sce PEEMCP,1,0,ENM DIGITAL ENERGY,POWER SOLUTIONS,DPSOL-EcoStruxure Energy Operation,Power,,,,,,
Glencore,MMM,Strategic,Not USA,1,,,,,,,,,,"IDSIG - Controls, Relays & Signaling",IDSIG,IDSIG,,Current,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure IT;EcoStruxure Plant;EcoStruxure Power,1,Power,Plant,IT,,,,,"IDSIG - Controls, Relays & Signaling",IDSIG,IDSIG,,Current,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Power,SUSUP,DATA,SOFTWARE,0,SUSUP-DATA-SOFTWARE,Resource Advisor,,DPSOL-Soft & Services-PM Digital Service,Power Monitoring Expert,DPSOL,Soft & Services,PM Digital Service,DPSOL-Soft & Services-PM Digital Service,1,0,ENM DIGITAL ENERGY,POWER SOLUTIONS,DPSOL-Power Monitoring Expert,Power,,,,,,
Goldcorp,MMM,CTA,Not USA,1,,,,,,,,,,IDVSD - Variable Speed Drives,IDVSD,IDVSD,,Current,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure IT;EcoStruxure Power,1,Power,IT,0,,,,,IDVSD - Variable Speed Drives,IDVSD,IDVSD,,Current,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Power,INIBS,OPERATE RECURRING,ASSET ADVISOR PREDICT,0,INIBS-OPERATE RECURRING-ASSET ADVISOR PREDICT,Power Asset Advisor,,DPSOL-Soft & Services-PM Digital Service,Power Scada Operation,DPSOL,Soft & Services,PM Digital Service,DPSOL-Soft & Services-PM Digital Service,1,0,ENM DIGITAL ENERGY,POWER SOLUTIONS,DPSOL-Power Scada Operation,Power,,,,,,
Grupo Mexico,MMM,CTA,Not USA,1,,,,,,,,,,IVCOM - Invensys - Commercial,IVCOM,IDCOM,,OLD,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure IT;Supplier B2B Initiative,1,IT,0,0,,,,,IVCOM - Invensys - Commercial,IVCOM,IDCOM,,OLD,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Building,DBIBS,ANNUAL SERVICE PLANS,ASP BDG ADVISOR MSAAS,0,DBIBS-ANNUAL SERVICE PLANS-ASP BDG ADVISOR MSAAS,Bldg Advisor,,DPSOL-Soft & Services-PM Edge PME,Power Monitoring Expert,DPSOL,Soft & Services,PM Edge PME,DPSOL-Soft & Services-PM Edge PME,1,0,ENM DIGITAL ENERGY,POWER SOLUTIONS,DPSOL-Power Monitoring Expert,Power,,,,,,
Grupo Penoles,MMM,CTA,Not USA,1,,,,,,,,,,IVIND - Invensys - Industrial,IVIND,IDEUR,,OLD,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure Machine,1,Machine,0,0,,,,,IVIND - Invensys - Industrial,IVIND,IDEUR,,OLD,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Plant,IDPAS,ADVISOR DIGITAL OFFERS,Other Advisors,0,IDPAS-ADVISOR DIGITAL OFFERS-Other Advisors,PA Advisor,,DPSOL-Soft & Services-PM Edge PSOPO,Power Scada Operation,DPSOL,Soft & Services,PM Edge PSOPO,DPSOL-Soft & Services-PM Edge PSOPO,1,0,ENM DIGITAL ENERGY,POWER SOLUTIONS,DPSOL-Power Scada Operation,Power,,,,,,
Hudbay Minerals,MMM,CTA,Not USA,1,,,,,,,,,,IVSYS - Invensys - Systems,IVSYS,IDPAC,,OLD,Ind Automation Ops,Ind Automation Ops,,,,,,,,EcoStruxure Machine;Commercial & Industrial,1,Machine,0,0,,,,,IVSYS - Invensys - Systems,IVSYS,IDPAC,,OLD,Ind Automation Ops,Ind Automation Ops,Ind Automation,NAM Ops,IA,IA w.o Services,IA w.o Services,,,,,,,,,Plant,IDPAS,CUSTOMER FIRST,CF System Advisor,0,IDPAS-CUSTOMER FIRST-CF System Advisor,PA Advisor,,EMSFT-ALPI-ALPI,ALPI,EMSFT,ALPI,ALPI,EMSFT-ALPI-ALPI,0,0,ENM OFF MATRIX,ENGY SOFT VERITCALIZED,EMSFT-ALPI,Power,,,,,,
Lafarge-Holcim,MMM,Strategic,David Rogers,1,,,,,,,,,,IDIBO - Industry Field Services,IDIBO,IDIBS,Industry OEM-BIC,OLD,Ind Automation Services,Ind Automation Services,,,,,,,,EcoStruxure Machine;EcoStruxure Plant,1,Machine,Plant,0,,,,,IDIBO - Industry Field Services,IDIBO,IDIBS,Industry OEM-BIC,OLD,Ind Automation Services,Ind Automation Services,Ind Automation,NAM Ops,IA,IA Services,IA Services,,,,,,,,,Building,DBIBS,ANNUAL SERVICE PLANS,ASP BDG ADVISOR PLUS,0,DBIBS-ANNUAL SERVICE PLANS-ASP BDG ADVISOR PLUS,Bldg Advisor,,EMSFT-ETAP-ETAP,ETAP,EMSFT,ETAP,ETAP,EMSFT-ETAP-ETAP,0,0,ENM OFF MATRIX,ENGY SOFT VERITCALIZED,EMSFT-ETAP,Power,,,,,,
Lehigh and/or Hanson,MMM,MCTA,Jon Urso,1,,,,,,,,,,IDIBS - Industry Field Services,IDIBS,IDIBS,Industry OEM-BIC,Current,Ind Automation Services,Ind Automation Services,,,,,,,,EcoStruxure Machine;EcoStruxure Plant;Commercial & Industrial,1,Plant,Machine,0,,,,,IDIBS - Industry Field Services,IDIBS,IDIBS,Industry OEM-BIC,Current,Ind Automation Services,Ind Automation Services,Ind Automation,NAM Ops,IA,IA Services,IA Services,,,,,,,,,Building,DBIBS,ANNUAL SERVICE PLANS,ASP BDG ADVISOR ULTRA,0,DBIBS-ANNUAL SERVICE PLANS-ASP BDG ADVISOR ULTRA,Bldg Advisor,,EMSFT-IGE + XAO-IGE + XAO,IGE + XAO,EMSFT,IGE + XAO,IGE + XAO,EMSFT-IGE + XAO-IGE + XAO,0,0,ENM OFF MATRIX,ENGY SOFT VERITCALIZED,EMSFT-IGE + XAO,Power,,,,,,
Martin Marrietta,MMM,CTA Candidate,David Rogers,1,,,,,,,,,,IDSFT - Ind Automation Software,IDSFT,IDSFT,,Current,Ind Automation Software,Ind Automation Software,,,,,,,,EcoStruxure Machine;EcoStruxure Plant;EcoStruxure Power,1,Power,Plant,0,,,,,IDSFT - Ind Automation Software,IDSFT,IDSFT,,Current,Ind Automation Software,Ind Automation Software,Ind Automation Sftwr,Outside NAM Ops,IA SW(AVEVA),IA SW(AVEVA),IA SW(AVEVA),,,,,,,,,Machine,IDHMI,ADVISOR DIGITAL OFFERS,Equipmt Efficiency Adv,0,IDHMI-ADVISOR DIGITAL OFFERS-Equipmt Efficiency Adv,IND Equip Adv,,EMSFT-PLANON-PLANON,PLANON,EMSFT,PLANON,PLANON,EMSFT-PLANON-PLANON,0,0,ENM OFF MATRIX,ENGY SOFT VERITCALIZED,EMSFT-PLANON,Power,,,,,,
Mosaic,MMM,CTA Candidate,Jon Urso,1,,,,,,,,,,IDSWS - Industry - M&O Software,IDSWS,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,,,,,,,,EcoStruxure Machine;EcoStruxure Power,1,Power,Machine,0,,,,,IDSWS - Industry - M&O Software,IDSWS,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,Ind Automation Sftwr,Outside NAM Ops,IA SW(AVEVA),IA SW(AVEVA),IA SW(AVEVA),,,,,,,,,Building,DBIBS,ON DEMAND SERVICES,ODM WORKPLACE ADVISOR,0,DBIBS-ON DEMAND SERVICES-ODM WORKPLACE ADVISOR,Bldg Advisor,,EMSFT-RIB-RIB,RIB,EMSFT,RIB,RIB,EMSFT-RIB-RIB,0,0,ENM OFF MATRIX,ENGY SOFT VERITCALIZED,EMSFT-RIB,Power,,,,,,
Nevada Gold Mines,MMM,CTA Candidate,David Rogers,1,,,,,,,,,,IVSFT - Invensys - Software,IVSFT,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,,,,,,,,EcoStruxure Machine;Supplier B2B Initiative,1,Machine,0,0,,,,,IVSFT - Invensys - Software,IVSFT,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,Ind Automation Sftwr,Outside NAM Ops,IA SW(AVEVA),IA SW(AVEVA),IA SW(AVEVA),,,,,,,,,Machine,IDSIG,ADVISOR DIGITAL OFFERS,IOT Button,0,IDSIG-ADVISOR DIGITAL OFFERS-IOT Button,IND Adv?,,PSSL2-CYBERSEC SERVICES-CYBERSEC SERVICES,Cybersecurity,PSSL2,CYBERSEC SERVICES,CYBERSEC SERVICES,PSSL2-CYBERSEC SERVICES-CYBERSEC SERVICES,0,0,ENM POWER SYSTEMS,MV SYSTEMS LEVEL 2,PSSL2-Cybersecurity,Power,,,,,,
NSG - Pilkington,MMM,CTA Candidate,David Rogers,1,,,,,,,,,,SFTWR - Software,SFTWR,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,,,,,,,,EcoStruxure Plant,1,Plant,0,0,,,,,SFTWR - Software,SFTWR,IDSFT,,OLD,Ind Automation Software,Ind Automation Software,Ind Automation Sftwr,Outside NAM Ops,IA SW(AVEVA),IA SW(AVEVA),IA SW(AVEVA),,,,,,,,,Building,DBIBS,ANNUAL SERVICE PLANS,ASP BDG ADVISOR PRIME,0,DBIBS-ANNUAL SERVICE PLANS-ASP BDG ADVISOR PRIME,Power Asset Advisor,,SPBPP-ELEMENT MANAGT SOFTWAR-DISTRIBUTED SOFTWARE,Network Management,SPBPP,ELEMENT MANAGT SOFTWAR,DISTRIBUTED SOFTWARE,SPBPP-ELEMENT MANAGT SOFTWAR-DISTRIBUTED SOFTWARE,0,0,ENM SECURE POWER,BUSINESS POWER PRODUCT,SPBPP-Network Management,IT,,,,,,
